grid,velocity,T,density,X_C2H4,X_O2,X_CO2,X_CO,X_H2O,X_H2,X_N2
0.0,0.6542240968866195,300.0,1.1698532681009575,0.06542056074762785,0.19626168224286927,6.229835029207429e-17,0.0,1.4845940762164483e-14,5.827552931619329e-13,0.7383177570089053
0.002,0.654224096908274,300.000000007054,1.1698532680622338,0.06542056074700107,0.19626168224042487,6.23010076153183e-17,0.0,8.94497856840081e-13,1.0489678026861822e-11,0.7383177570011898
0.003,0.6542240969918641,300.00000002472206,1.1698532679127605,0.06542056074249811,0.19626168222493365,6.254851992947869e-17,0.0,3.1017200395081306e-12,8.3556824367348e-11,0.7383177569459096
0.004,0.6542240976255268,300.00000011609893,1.1698532667796753,0.06542056069908653,0.19626168208051742,7.341756766915232e-17,7.132262856313858e-16,1.4508250670305308e-11,7.92477408139653e-10,0.7383177564134095
0.0045000000000000005,0.6542240995604816,300.0000002641187,1.1698532633196805,0.0654205605379715,0.19626168155656432,2.52119399648585e-16,1.0677067569875833e-14,3.3076474777147705e-11,3.434477592587234e-09,0.7383177544378993
0.005,0.6542241091712192,300.0000007825372,1.1698532461342066,0.06542055969048868,0.19626167881727713,4.232546265745165e-15,1.8136218180079522e-13,9.871397047548547e-11,1.7346675591351306e-08,0.738317744046659
0.0055,0.6542241582413025,300.0000028519773,1.1698531583893714,0.06542055523776846,0.19626166447410334,9.290806263859966e-14,3.1052755276330715e-12,3.6862642842934776e-10,9.048146374373727e-08,0.7383176894348399
0.00575,0.6542242617169013,300.000007504315,1.1698529733591727,0.06542054591202329,0.1962616344644643,8.448994102828904e-13,2.2253748831281557e-11,1.0088032648889754e-09,2.4364729345637306e-07,0.738317574944317
0.006,0.6542246162838699,300.00003619993674,1.1698523393396445,0.06542051674111093,0.19626154011232252,9.60035607283938e-12,1.9583802631126414e-10,4.9953130472365376e-09,7.220059505715073e-07,0.7383172159398645
0.006125,0.6542251860194811,300.0001231489294,1.1698513205674126,0.06542047877122098,0.1962614154580297,4.8923861268602525e-11,8.076252539755721e-10,1.6873727654272192e-08,1.3419145655126502e-06,0.7383167461259071
0.00625,0.6542268702257173,300.0005326462112,1.1698483089659812,0.0654203997049913,0.19626114704034103,2.9753274630609614e-10,3.886485520737965e-09,7.14558269566867e-08,2.619449645104091e-06,0.7383157581651772
0.0063750000000000005,0.6542328129373299,300.00249305975984,1.1698376826725727,0.0654202325618326,0.1962605363419703,1.869284275028728e-09,1.9380962433772012e-08,3.259436613586293e-07,5.252089122254622e-06,0.7383136318131668
0.0064375000000000005,0.6542426287264596,300.00627752787716,1.169820131267026,0.06542007428355431,0.19625988056079702,5.792083166800587e-09,5.0558669553213695e-08,8.050090212871617e-07,7.615489575229992e-06,0.7383115683062993
0.006500000000000001,0.654269219670573,300.01729807646865,1.1697725872064055,0.06541980897582925,0.19625859115296374,2.0153519777474613e-08,1.4459538076032264e-07,2.1692110742919965e-06,1.1232006743718702e-05,0.7383080339044885
0.006562500000000001,0.6543436235738013,300.0494035784998,1.169639575091616,0.06541932963726356,0.19625576256411176,7.272645749173664e-08,4.28201264853637e-07,6.0553226294625114e-06,1.6765625272202822e-05,0.7383015859230007
0.006625000000000001,0.6545556791895868,300.1429399319533,1.169260648437608,0.06541836090018549,0.19624887347566425,2.6513079256056604e-07,1.2833276376750703e-06,1.7124682740717796e-05,2.5230845483490437e-05,0.7382888616374957
0.006656250000000001,0.6548110952851293,300.25680805333747,1.168804565854527,0.06541739806911877,0.1962411830434167,5.531632696548197e-07,2.3568665454165025e-06,3.0329693289763262e-05,3.114431766716534e-05,0.7382770348466925
0.006687500000000001,0.655308067855683,300.47952029174826,1.1679181679316377,0.06541566534790882,0.19622667005542688,1.2237109812749032e-06,4.510583674966574e-06,5.572035387190235e-05,3.862008010290573e-05,0.7382575898680332
0.006718750000000001,0.6562761535905742,300.91485411530397,1.166195349375625,0.06541237009329479,0.19619877120570503,2.7831730559530917e-06,8.827451284014204e-06,0.0001044903606387677,4.806446012894664e-05,0.7382246932558925
0.006734375000000001,0.6571046250981697,301.28813940884925,1.1647250211590785,0.06540950316281434,0.1961749111165173,4.337247054110052e-06,1.261017596504511e-05,0.0001456909475151104,5.371844824795338e-05,0.738199228901886
0.006750000000000001,0.6583257544070292,301.8389559552373,1.1625645714984574,0.06540514617204338,0.19613960732458596,6.917126561605563e-06,1.8284601751737567e-05,0.00020575717924799697,6.0110552598882166e-05,0.7381641770432104
0.006765625000000001,0.6601244136542795,302.6509928895901,1.1593969000950695,0.06539846018703986,0.19608728603396677,1.1193867528984274e-05,2.6786563403014665e-05,0.0002932022519228046,6.733123751062649e-05,0.7381157398586281
0.006781250000000001,0.6627706791956102,303.846528460626,1.154767739871258,0.06538812985849689,0.196009711596829,1.826889442027956e-05,3.950272292798967e-05,0.0004202393096457902,7.547819492665315e-05,0.7380486694227534
0.006789062500000001,0.6645597590451942,304.65516135709305,1.1516589578377463,0.0653808132491737,0.19595681984417257,2.3539899406541454e-05,4.822289793563793e-05,0.0005052885506101903,7.994506879204156e-05,0.7380053704899093
0.006796875000000001,0.6667669731009487,305.65306238147826,1.147846595136689,0.06537145447596274,0.1958911679974402,3.052064304033038e-05,5.90857180552789e-05,0.0006093682472548789,8.469313002467657e-05,0.7379537097882221
0.006804687500000001,0.6694875963381148,306.88337911125024,1.1431820460330528,0.06535947844624503,0.19580973927071746,3.97531158163215e-05,7.260261140454099e-05,0.0007365656985745378,8.973655080521705e-05,0.7378921243064368
